time[s],height[mm],temperature[K]
1.0,25.0915008,298.311983
2.0,25.23321460000001,298.374645
3.0,25.348705799999998,298.437199
4.0,25.457592799999997,298.499805
5.0,25.563570199999997,298.56252
6.0,25.667923000000005,298.625367
7.0,25.771214799999996,298.688324
8.0,25.873726600000005,298.751393
9.0,25.97561079999999,298.814573
10.0,26.07695800000001,298.877862
11.0,26.279484,298.943936
12.0,27.32931940000001,299.041567
13.0,29.783336600000013,299.192782
14.0,31.88578360000001,299.36279
15.0,33.857335800000016,299.596696
16.0,36.002462400000006,299.824312
17.0,38.34627420000001,300.049937
18.0,40.842676000000004,300.274315
19.0,43.3808692,300.496359
20.0,45.9087858,300.812634
21.0,48.496211599999995,301.127187
22.0,51.2877702,301.445635
23.0,54.31529799999999,301.770335
24.0,57.437819000000005,302.157318
25.0,60.69379500000001,302.599614
26.0,64.05830560000001,303.032435
27.0,67.46942840000001,303.455944
28.0,70.86472219999999,303.968373
29.0,74.38473400000001,304.503162
30.0,78.0536106,305.03255
31.0,81.778755,305.590581
32.0,85.59201000000002,306.244166
33.0,89.5241198,306.882
34.0,93.5499336,307.509892
35.0,97.6588702,308.28364
36.0,101.9278438,309.037585
37.0,106.305194,309.79739
38.0,110.7949514,310.686782
39.0,115.47168559999999,311.553387
40.0,120.24307840000002,312.47823
41.0,125.20835620000001,313.478571
42.0,130.34913239999997,314.446739
43.0,135.624488,315.572026
44.0,141.15025500000002,316.664643
45.0,146.81690659999998,317.861641
46.0,152.7439358,319.064405
47.0,158.8280406,320.311104
48.0,165.1882538,321.610786
49.0,171.72499000000002,322.94698
50.0,178.53739860000002,324.291089
51.0,185.28001616,325.692997
52.0,191.36584764,327.000437
53.0,195.66807262000003,328.39317
54.0,197.7582719,329.572296
55.0,198.013329902,329.754802
